('Total Revenue', '408,625,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         876947 function calls (852433 primitive calls) in 2.970 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      480    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      369    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
      447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
        2    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      179    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.001    0.001 unix_events.py:1(<module>)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       26    0.000    0.000    0.001    0.000 dataclasses.py:1240(dataclass)
       16    0.000    0.000    0.001    0.000 dataclasses.py:661(_cmp_fn)
       59    0.000    0.000    0.001    0.000 _htmlparser.py:127(handle_startendtag)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
      880    0.001    0.000    0.001    0.000 contextlib.py:104(__init__)
       28    0.000    0.000    0.001    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
     8488    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       40    0.000    0.000    0.001    0.000 typing.py:1047(_generic_class_getitem)
        1    0.000    0.000    0.001    0.001 stapled.py:1(<module>)
      299    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
     1699    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     5762    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     6906    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
      261    0.000    0.000    0.001    0.000 _state.py:275(process_event)
      694    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
     3396    0.001    0.000    0.001    0.000 filter.py:292(matches_string)
        1    0.000    0.000    0.001    0.001 tasks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
     2746    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 tls.py:1(<module>)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 lowlevel.py:1(<module>)
     5676    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      597    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      880    0.000    0.000    0.001    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.001    0.001 pathlib.py:812(PureWindowsPath)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
      712    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      753    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
        1    0.000    0.000    0.001    0.001 ssl.py:430(__new__)
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
     1032    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.001    0.001 __init__.py:135(BeautifulSoup)
      634    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
        3    0.000    0.000    0.001    0.000 typing.py:2780(__new__)
       29    0.000    0.000    0.001    0.000 typing.py:1548(__getitem__)
     7639    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.001    0.001 sync.py:1(<module>)
    10560    0.001    0.000    0.001    0.000 typing.py:2154(cast)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
     3412    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      240    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
     1449    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
        1    0.000    0.000    0.001    0.001 cookiejar.py:1680(extract_cookies)
       62    0.000    0.000    0.001    0.000 _util.py:84(validate)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        3    0.000    0.000    0.001    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      767    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
       54    0.000    0.000    0.001    0.000 typing.py:1096(_generic_init_subclass)
     3811    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
     2862    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 timeouts.py:1(<module>)
       29    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
